"GEO_ID","id"
"B07010_042E","Estimate!!Total!!Moved from different county within same state!!With income!!$50,000 to $64,999"
"B07010_042M","Margin of Error!!Total!!Moved from different county within same state!!With income!!$50,000 to $64,999"
"B07010_043E","Estimate!!Total!!Moved from different county within same state!!With income!!$65,000 to $74,999"
"B07010_043M","Margin of Error!!Total!!Moved from different county within same state!!With income!!$65,000 to $74,999"
"B07010_044E","Estimate!!Total!!Moved from different county within same state!!With income!!$75,000 or more"
"B07010_044M","Margin of Error!!Total!!Moved from different county within same state!!With income!!$75,000 or more"
"B07010_045E","Estimate!!Total!!Moved from different state"
"B07010_045M","Margin of Error!!Total!!Moved from different state"
"B07010_046E","Estimate!!Total!!Moved from different state!!No income"
"B07010_046M","Margin of Error!!Total!!Moved from different state!!No income"
"B07010_047E","Estimate!!Total!!Moved from different state!!With income"
"B07010_047M","Margin of Error!!Total!!Moved from different state!!With income"
"B07010_048E","Estimate!!Total!!Moved from different state!!With income!!$1 to $9,999 or loss"
"B07010_048M","Margin of Error!!Total!!Moved from different state!!With income!!$1 to $9,999 or loss"
"B07010_049E","Estimate!!Total!!Moved from different state!!With income!!$10,000 to $14,999"
"B07010_049M","Margin of Error!!Total!!Moved from different state!!With income!!$10,000 to $14,999"
"B07010_050E","Estimate!!Total!!Moved from different state!!With income!!$15,000 to $24,999"
"B07010_050M","Margin of Error!!Total!!Moved from different state!!With income!!$15,000 to $24,999"
"B07010_051E","Estimate!!Total!!Moved from different state!!With income!!$25,000 to $34,999"
"B07010_051M","Margin of Error!!Total!!Moved from different state!!With income!!$25,000 to $34,999"
"B07010_052E","Estimate!!Total!!Moved from different state!!With income!!$35,000 to $49,999"
"B07010_052M","Margin of Error!!Total!!Moved from different state!!With income!!$35,000 to $49,999"
"B07010_053E","Estimate!!Total!!Moved from different state!!With income!!$50,000 to $64,999"
"B07010_053M","Margin of Error!!Total!!Moved from different state!!With income!!$50,000 to $64,999"
"B07010_054E","Estimate!!Total!!Moved from different state!!With income!!$65,000 to $74,999"
"B07010_054M","Margin of Error!!Total!!Moved from different state!!With income!!$65,000 to $74,999"
"B07010_055E","Estimate!!Total!!Moved from different state!!With income!!$75,000 or more"
"B07010_055M","Margin of Error!!Total!!Moved from different state!!With income!!$75,000 or more"
"B07010_056E","Estimate!!Total!!Moved from abroad"
"B07010_056M","Margin of Error!!Total!!Moved from abroad"
"B07010_057E","Estimate!!Total!!Moved from abroad!!No income"
"B07010_057M","Margin of Error!!Total!!Moved from abroad!!No income"
"B07010_058E","Estimate!!Total!!Moved from abroad!!With income"
"B07010_058M","Margin of Error!!Total!!Moved from abroad!!With income"
"B07010_059E","Estimate!!Total!!Moved from abroad!!With income!!$1 to $9,999 or loss"
"B07010_059M","Margin of Error!!Total!!Moved from abroad!!With income!!$1 to $9,999 or loss"
"B07010_060E","Estimate!!Total!!Moved from abroad!!With income!!$10,000 to $14,999"
"B07010_060M","Margin of Error!!Total!!Moved from abroad!!With income!!$10,000 to $14,999"
"B07010_061E","Estimate!!Total!!Moved from abroad!!With income!!$15,000 to $24,999"
"B07010_061M","Margin of Error!!Total!!Moved from abroad!!With income!!$15,000 to $24,999"
"B07010_062E","Estimate!!Total!!Moved from abroad!!With income!!$25,000 to $34,999"
"B07010_062M","Margin of Error!!Total!!Moved from abroad!!With income!!$25,000 to $34,999"
"B07010_063E","Estimate!!Total!!Moved from abroad!!With income!!$35,000 to $49,999"
"B07010_063M","Margin of Error!!Total!!Moved from abroad!!With income!!$35,000 to $49,999"
"B07010_064E","Estimate!!Total!!Moved from abroad!!With income!!$50,000 to $64,999"
"B07010_064M","Margin of Error!!Total!!Moved from abroad!!With income!!$50,000 to $64,999"
"B07010_065E","Estimate!!Total!!Moved from abroad!!With income!!$65,000 to $74,999"
"B07010_065M","Margin of Error!!Total!!Moved from abroad!!With income!!$65,000 to $74,999"
"B07010_066E","Estimate!!Total!!Moved from abroad!!With income!!$75,000 or more"
"B07010_066M","Margin of Error!!Total!!Moved from abroad!!With income!!$75,000 or more"
