"GEO_ID","NAME","P001001","P001002","P001003","P001004","P001005","P001006","P001007","P001008","P001009","P001010","P001011","P001012","P001013","P001014","P001015","P001016","P001017","P001018","P001019","P001020","P001021","P001022","P001023","P001024","P001025","P001026","P001027","P001028","P001029","P001030","P001031","P001032","P001033","P001034","P001035","P001036","P001037","P001038","P001039","P001040","P001041","P001042","P001043","P001044","P001045","P001046","P001047","P001048","P001049","P001050","P001051","P001052","P001053","P001054","P001055","P001056","P001057","P001058","P001059","P001060","P001061","P001062","P001063","P001064","P001065","P001066","P001067","P001068","P001069","P001070","P001071"
"1400000US36083051600","Census Tract 516, Rensselaer County, New York","6764","6511","5471","485","21","446","0","88","253","238","132","24","41","0","21","6","2","0","3","0","0","0","3","5","1","11","3","0","0","0","6","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083051701","Census Tract 517.01, Rensselaer County, New York","3423","3381","3321","24","8","18","2","8","42","42","16","7","9","4","4","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083051702","Census Tract 517.02, Rensselaer County, New York","3501","3449","3385","27","8","16","0","13","52","49","12","19","10","0","6","0","0","0","0","0","0","0","0","2","0","3","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083051800","Census Tract 518, Rensselaer County, New York","5735","5680","5586","27","28","26","0","13","55","51","13","26","10","1","1","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083051901","Census Tract 519.01, Rensselaer County, New York","3968","3948","3897","20","11","15","1","4","20","19","5","6","6","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083051902","Census Tract 519.02, Rensselaer County, New York","3711","3656","3506","109","7","28","3","3","55","51","29","16","4","1","1","0","0","0","0","0","0","0","0","0","0","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083052002","Census Tract 520.02, Rensselaer County, New York","1680","1658","1626","7","5","9","0","11","22","22","6","9","5","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083052003","Census Tract 520.03, Rensselaer County, New York","4256","4204","4033","91","11","62","0","7","52","43","22","7","9","0","1","0","0","0","0","0","0","0","0","4","0","9","4","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083052004","Census Tract 520.04, Rensselaer County, New York","6005","5906","5630","116","8","123","2","27","99","97","39","16","28","1","7","1","3","0","0","0","0","0","0","2","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083052101","Census Tract 521.01, Rensselaer County, New York","2130","2097","2065","4","6","21","0","1","33","32","9","10","9","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
