"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier"
"1400000US36103158112","Census Tract 1581.12, Suffolk County, New York","1354","40","0","12","0","12","10","15","182","75","110","87","140","62","463","101","280","109","92","55","77","46"
"1400000US36103158114","Census Tract 1581.14, Suffolk County, New York","1278","26","0","12","11","15","313","76","88","62","76","39","530","93","236","70","17","20","0","12","7","12"
"1400000US36103158115","Census Tract 1581.15, Suffolk County, New York","2259","39","0","17","0","17","372","121","27","30","14","30","840","194","895","174","20","33","51","51","40","53"
"1400000US36103158116","Census Tract 1581.16, Suffolk County, New York","755","30","0","12","0","12","107","39","81","48","45","30","430","63","59","44","33","38","0","12","0","12"
"1400000US36103158202","Census Tract 1582.02, Suffolk County, New York","2869","95","0","17","0","17","477","171","243","81","158","95","433","143","926","220","344","120","80","57","208","189"
"1400000US36103158203","Census Tract 1582.03, Suffolk County, New York","558","15","0","12","0","12","19","22","22","18","45","22","115","31","97","40","174","47","22","22","64","32"
"1400000US36103158205","Census Tract 1582.05, Suffolk County, New York","642","33","0","12","0","12","20","22","54","39","163","47","146","43","59","25","50","35","40","36","110","37"
"1400000US36103158206","Census Tract 1582.06, Suffolk County, New York","1597","106","139","75","0","12","117","67","148","72","57","31","90","36","167","88","168","84","110","54","601","113"
"1400000US36103158207","Census Tract 1582.07, Suffolk County, New York","1916","96","6","7","2","4","114","69","409","99","275","64","281","73","412","91","271","78","35","25","111","51"
"1400000US36103158304","Census Tract 1583.04, Suffolk County, New York","2438","44","0","17","0","17","122","69","118","65","398","193","499","117","535","159","430","152","160","142","176","114"
"1400000US36103158306","Census Tract 1583.06, Suffolk County, New York","2137","39","0","17","28","32","383","124","100","83","204","84","1052","185","234","147","15","24","46","67","75","78"
"1400000US36103158308","Census Tract 1583.08, Suffolk County, New York","2599","115","7","15","0","17","145","81","408","177","524","156","337","142","751","183","311","104","38","46","78","70"
